"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Dalton Schultz","TE","HOU","101","14.4","0.103","77.5","118","-17","-30.5","-24.5","319","425","390","23","7","177","2.42","69"
"Isaiah Likely","TE","BAL","101","16.5","0.681","80.1","123","-17.1","-27.9","-19.6","321","397","335","24","7","158","3.1","66"
"Jordan Mason","RB","MIN","115","18.4","2.04","78.2","131","-17.3","-26.1","-31","326","378","442","41","11","100","7.64","39"
"Josh Downs","WR","IND","145","17.3","2.61","129","175","-17.4","-9.67","-24.6","328","210","392","50","7","133","2.62","35"
"Darren Waller","TE","MIA","100","12.8","0.368","76.1","111","-17.8","-31.8","-31.8","334","433","450","25","7","159","2.36","80"
"Pat Freiermuth","TE","PIT","99.8","12.9","0.158","79.4","119","-18.1","-28.5","-23.4","340","403","376","26","7","163","2.47","57"
"Mike Gesicki","TE","CIN","99.7","7.19","1.98","91.1","111","-18.3","-16.8","-32.1","345","276","451","27","7","156","2.02","26"
"Cam Skattebo","RB","NYG","113","20.3","0.611","90.9","152","-19.4","-13.3","-10.3","366","236","219","42","11","118","4.02","61"
"Tank Bigsby","RB","JAC","112","22.5","5.23","85.2","147","-20","-19.1","-15.6","377","303","282","43","11","115","3.5","56"
"Keon Coleman","WR","BUF","142","17","7.27","119","166","-20","-19.8","-33","376","312","457","51","7","117","3.27","57"
"Juwan Johnson","TE","NO","97.7","15.4","2.41","69.2","114","-20.3","-38.7","-28.4","382","471","423","28","8","170","1.45","77"
"Mason Taylor","TE","NYJ","95.3","11.7","2.17","78.9","116","-22.7","-29","-26.9","405","414","414","29","8","162","2.01","60"
"Tyler Higbee","TE","LAR","93.1","17.3","4.5","73.3","122","-24.9","-34.7","-21","444","450","352","30","8","183","1.42","89"
"Najee Harris","RB","LAC","107","20.8","0.964","84.5","139","-25.2","-19.8","-23.5","451","311","378","44","11","130","4.41","70"
"Nick Chubb","RB","HOU","106","29","4.98","70","146","-26.2","-34.3","-16.2","461","446","292","45","11","124","5.21","87"
