#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
786,Dorian Mausi,TEN,LB,LILB,17,,51.0,6.9,3.2,3.7,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,9.3
787,Nikko Reed,LAC,DB,CB,17,,86.0,5.5,2.9,2.6,0.2,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1,9.0
788,Xavier Thomas,ARI,LB,OLB,17,,51.0,4.9,2.2,2.2,0.3,0.6,0.2,0.0,0.1,0.0,0.0,0.0,1,8.9
789,Kurt Hinish,HOU,DL,DT,12,O,72.0,5.9,2.3,3.5,0.7,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,8.9
790,Shavon Revel Jr.,DAL,DB,CB,9,O,74.0,5.7,3.0,2.7,0.2,0.0,0.8,0.1,0.1,0.0,0.0,0.0,1,8.9
791,Marlowe Wax,LAC,LB,RILB,17,,51.0,6.7,2.9,3.8,0.4,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,8.8
792,Brenden Schooler,NE,DB,SS,17,,47.0,4.9,2.3,2.0,0.2,0.6,0.3,0.0,0.0,0.0,0.0,0.0,1,8.7
793,Josh Woods,ATL,LB,ILB,17,,51.0,6.3,3.0,3.3,0.4,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0,8.6
794,Carson Bruener,PIT,LB,LILB,17,,51.0,6.4,3.0,3.4,0.4,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,8.6
795,Bilal Nichols,ARI,DL,NT,11,O,66.0,5.5,2.2,3.1,0.7,0.2,0.2,0.0,0.1,0.0,0.0,0.0,1,8.5
796,Cameron Lewis,BUF,DB,RCB,17,,62.0,5.1,3.3,1.8,0.1,0.0,0.6,0.1,0.1,0.0,0.0,0.0,1,8.5
797,Karene Reid,DEN,LB,LILB,17,,51.0,6.3,2.9,3.4,0.4,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,8.5
798,Bo Richter,MIN,LB,ROLB,17,,51.0,5.8,2.3,3.2,0.3,0.3,0.2,0.0,0.1,0.0,0.0,0.0,1,8.5
799,Andre Frazier,PIT,LB,C,17,,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.4,0.0,0.1,10,8.4
800,Thomas Harper,DET,DB,SS,17,,51.0,5.4,2.8,2.5,0.2,0.1,0.3,0.1,0.1,0.0,0.0,0.0,1,8.1
801,Markees Watts,TB,LB,OLB,17,,51.0,4.8,2.2,2.2,0.3,0.4,0.2,0.1,0.1,0.0,0.0,0.0,1,8.1
802,Malik Verdon,ATL,DB,ILB,16,O,48.0,5.9,2.8,3.1,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,1,7.8
803,Smael Mondon Jr.,PHI,LB,RILB,17,,51.0,5.8,2.5,3.3,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,7.8
804,Tre’Davious White,BUF,DB,RCB,17,Q,61.0,4.0,2.7,1.4,0.1,0.0,0.7,0.1,0.1,0.0,0.0,0.0,2,7.5
805,Brandin Echols,PIT,DB,CB,16,,56.0,4.0,2.2,1.9,0.2,0.0,0.6,0.2,0.1,0.0,0.0,0.0,3,7.4
806,Brennan Jackson,LV,LB,OLB,17,,51.0,4.9,2.4,2.4,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,7.4
807,Daniel Thomas,DET,DB,SS,17,,51.0,5.0,2.7,2.4,0.2,0.0,0.3,0.0,0.1,0.0,0.0,0.0,1,7.4
808,Caleb Murphy,LAC,LB,OLB,17,,51.0,4.9,2.4,2.4,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,7.3
809,Thomas Incoom,CAR,LB,OLB,17,,51.0,4.9,2.4,2.4,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,1,7.3
